pos_ft,acceleration
4.33442,0.118014
4.34914,0
4.36387,0.118494
4.37859,0.122040667
4.39823,0.123014
4.41296,0.1251819
4.42768,0.1251819
4.44241,0
4.45713,0
4.47186,0.124254
4.48659,0.126600667
4.50131,0.127453857
4.51604,0.126254
4.53077,0.122014
4.54549,0.120654
4.56022,0.120654
4.57494,0.118760833
4.58967,0
4.6044,0.1179501
4.61912,0.1170866
4.63385,0
4.64858,0.116415
4.66821,0.113575
4.68294,0
4.69766,0.108655
4.71239,0.108655
4.72712,0.0864328
4.74184,0.067490133
4.75657,0.067490133
4.77129,0.051171
4.78602,0.043844
4.80075,0.043844
4.81547,0.043844
4.8302,0
4.84492,0.04074
4.85965,0.03994
4.87438,0.04154
4.8891,0.04314
4.90383,0.04314
4.91856,0.087777
4.93819,0
4.95292,0.0983358
4.96764,0.0983358
4.98237,0.110761667
4.9971,0.121411077
5.01182,0.128254
5.02655,0
5.04127,0.128158
5.056,0.128158
5.07073,0
5.2818,0.057565667
5.29653,0.057565667
5.31125,0.057272333
5.32598,0.057272333
5.34071,0.057091
5.35543,0
5.37016,0.056435
5.38489,0.056435
5.39961,0
5.41434,0.054699
5.42906,0.053891
5.44379,0.053891
5.46343,0.052579
5.47815,0.052099
5.49288,0.052464714
5.5076,0.054219
5.52233,0.056499
5.53706,0.0626185
5.55178,0.059299
5.56651,0.075255474
5.58124,0.075255474
5.59596,0
5.61069,0.0916004
5.62541,0.0916004
5.64014,0
5.65487,0.097536
5.66959,0.105037556
5.68432,0.120774
5.69905,0.126054
5.71377,0.136013
5.73341,0.140953
5.74813,0
5.76286,0.1490361
5.77759,0.1490361
5.79231,0.1566839
5.80704,0.161467
5.82176,0.161467
5.83649,0
5.85122,0.1636271
5.86594,0.1636271
5.88067,0
5.89539,0.164126556
5.91012,0.164126556
5.92485,0.161851
5.93957,0.1593315
5.9543,0.153372
5.96903,0.149097714
5.98375,0
6.00339,0.1403009
6.1801,0.113695
6.19483,0.119671357
6.20955,0.124920667
6.22428,0.127534
6.23901,0.127534
